id, name, terminalName, lat, long, installed, locked, installDate, removalDate, temporary, nbBikes, nbEmptyDocks, latestUpdateTime
117,"Hogan / de Rouen",6128,45.536274,-73.554043,true,false,1334069580000,,false,13,6,1335481710846
118,"Sherbrooke / Frontenac",6130,45.5367,-73.56081,true,false,1333746780000,,false,8,11,1335494494856
119,"Sherbrooke / Fullum",6131,45.53375,-73.56196,true,false,1332959700000,,false,15,0,1335493331929
120,"Terasse Mercure / Fulum",6133,45.535614,-73.566014,true,false,1332812100000,,false,13,2,1335491762465
121,"de Bordeaux / Sherbrooke",6129,45.53002706078813,-73.56317639350891,true,false,1332810900000,,false,13,2,1335493751225
122,"Prince Arthur/Ste-Famille ",6202,45.511721,-73.574442,true,false,1333325880000,,false,0,0,
123,"University / Prince-Arthur",6047,45.50733,-73.57845,true,false,1333231020000,,false,0,31,1335494016743
124,"University / des Pins",6079,45.508164612433625,-73.58017891645432,true,false,1333326300000,,false,11,12,1335492183522
125,"Molson / William - Tremblay",6022,45.541532,-73.565258,true,false,1334341260000,,false,4,11,1335491428440
126,"Atwater / Sherbrooke",6093,45.49132174886071,-73.58780980110168,true,false,1333286280000,,false,4,19,1335494366355
127,"Drolet / Beaubien",6913,45.533364,-73.605837,true,false,1334569800000,,false,10,5,1335494026615
128,"Casgrain / Beaubien",6915,45.531425,-73.607591,true,false,1334569860000,,false,8,7,1335490587103
129,"Parc du Pélican",6916,45.54483,-73.572811,true,false,,,false,3,12,1335492942286
130,"9e Avenue / Dandurand",6918,45.550769,-73.57711,true,false,,,false,4,7,1335494474744
131,"Marquette / Jean-Talon",6923,45.54735612315234,-73.60760986804962,true,false,1334315100000,,false,6,13,1335493032638
132,"des Écores / Jean-Talon",6925,45.55244260913485,-73.60300183296204,true,false,1334315040000,,false,18,1,1335486658837
133,"Président-Kennedy / University",6072,45.50463252180637,-73.57255339622498,true,false,1333230660000,,false,5,22,1335494786449
134,"Drummond / du Docteur-Penfield",6075,45.50194054022276,-73.58126521110535,true,false,1333231080000,,false,5,10,1335493346737
135,"Gascon / Rachel",6134,45.53797,-73.5627,true,false,1332941100000,,false,13,2,1335492120645
136,"Larivière / de Lorimier",6132,45.52915520624575,-73.559410572052,true,false,1332811800000,,false,11,4,1335490529981
137,"Parthenais / Rachel",6136,45.53417194299746,-73.56608927249908,true,false,1334191140000,,false,13,1,1335495118657
138,"Gauthier / Papineau",6137,45.530202,-73.56663,true,false,1334191260000,,false,14,9,1335494596264
139,"de Bordeaux / Gauthier",6138,45.5313,-73.566,true,false,1334191200000,,false,15,0,1335494453704
140,"Gauthier / des Érables",6139,45.53237,-73.56437,true,false,1334191080000,,false,6,9,1335494646718
141,"Marquette / Rachel",6140,45.5298015824607,-73.5702896118164,true,false,1332810840000,,false,15,4,1335494268345
142,"de Bordeaux / Rachel",6141,45.53227,-73.56828,true,false,1333041900000,,false,3,12,1335493767193
143,"Garnier / Rachel",6142,45.52865,-73.57163,true,false,1334314980000,,false,3,16,1335493598696
144,"Rachel / Brébeuf",6143,45.52689,-73.57264,true,false,1332811380000,,false,4,11,1335494062935
145,"du Parc-La Fontaine / Duluth",6145,45.52469,-73.57221,true,false,1332811380000,,false,4,7,1335493692812
146,"du Parc-La Fontaine / Roy",6146,45.523084,-73.568731,true,false,1332864360000,,false,10,1,1335491962988
147,"Calixa-Lavallée / Sherbrooke",6147,45.52479,-73.56545,true,false,1332864240000,,false,25,6,1335494860112
148,"Émile-Duployé / Sherbrooke",6148,45.52729,-73.56463,true,false,1332960120000,,false,10,13,1335491959717
149,"Chapleau / Mont-Royal",6149,45.53867,-73.56936,true,false,1332945660000,,false,2,9,1335495358908
150,"Fullum / Mont-Royal",6150,45.537553,-73.570182,true,false,1334191080000,,false,5,10,1335492158192
151,"des Érables / Mont-Royal",6151,45.53565,-73.57172,true,false,1334191260000,,false,12,7,1335495542731
152,"Chabot / Mont-Royal",6152,45.53413436610843,-73.57349216938019,true,false,1332865260000,,false,4,15,1335494483701
153,"Marie-Anne / Papineau",6153,45.53189473818018,-73.5723227262497,true,false,1332811680000,,false,2,12,1335491780413
154,"Marquette / Mont-Royal",6154,45.53229,-73.57544,true,false,1333042020000,,false,9,10,1335493567244
155,"Garnier / Mont-Royal",6155,45.53092,-73.57674,true,false,1333042020000,,false,14,13,1335495519715
156,"Marie-Anne / de la Roche",6156,45.52773841379083,-73.5762494802475,true,false,1332864660000,,false,15,4,1335495404140
157,"de la Roche / Mont-Royal",6157,45.52856,-73.57828,true,false,1332866340000,,false,11,8,1335495437979
158,"Gilford / Brébeuf",6158,45.53073,-73.58153,true,false,1332866880000,,false,7,8,1335493959426
159,"Marquette / Gilford",6159,45.5339,-73.57891,true,false,1333041960000,,false,5,10,1335492833964
160,"Garnier / Saint-Joseph",6160,45.53297,-73.58118,true,false,1332942180000,,false,7,12,1335492902679
161,"Cartier / Saint-Joseph",6161,45.53576,-73.57867,true,false,1332942240000,,false,9,14,1335493170331
162,"Messier / Saint-Joseph",6162,45.53928,-73.57596,true,false,1332960180000,,false,0,7,1335491033806
163,"Marquette / Laurier",6163,45.53543,-73.5822,true,false,1333047360000,,false,13,10,1335493443647
164,"Garnier / Laurier",6164,45.53388,-73.58315,true,false,1332941040000,,false,7,8,1335495177743
165,"Brébeuf / Laurier",6165,45.53248,-73.58507,true,false,1332872820000,,false,25,6,1335491603260
166,"Brébeuf / Saint-Grégoire",6166,45.5341,-73.58852,true,false,1332872820000,,false,22,1,1335495504521
167,"Marquette / Saint-Grégoire",6167,45.53703,-73.58584,true,false,1332941580000,,false,3,12,1335494423648
168,"Chabot / Masson",6168,45.538298,-73.582703,true,false,1332959460000,,false,10,9,1335492813577
169,"de Mentana / Saint-Grégoire",6169,45.53187,-73.59064,true,false,1332872880000,,false,9,10,1335493968107
170,"de Mentana / Laurier",6170,45.53004,-73.5867,true,false,1332941280000,,false,17,6,1335494260001
171,Wolfe/Robin,6171,45.520372,-73.562425,true,false,1332811860000,,false,3,16,1335481714243
173,"Cherrier / Berri",6173,45.5191458,-73.5692414,true,false,1334097900000,,false,19,4,1335495572483
174,"Roy / Saint-Denis",6174,45.51908,-73.5727,true,false,1334191320000,,false,18,4,1335494857964
175,"Saint-André / Roy",6175,45.52186,-73.57047,true,false,1334314800000,,false,14,5,1335493115291
176,"St-André / Duluth",6176,45.523171,-73.573431,true,false,1332865320000,,false,18,5,1335493399031
177,"Saint-André / Rachel",6177,45.524222,-73.575771,true,false,1332866340000,,false,6,5,1335494335051
178,"Rachel / Berri",6178,45.522721103182064,-73.57726335525513,true,false,1332959880000,,false,16,7,1335493858464
179,"Duluth / Saint-Denis",6179,45.52077419099789,-73.57577741146088,true,false,1332959820000,,false,23,0,1335495557052
180,"De Bullion/Rachel",6180,45.519346,-73.5802,true,false,1332698820000,,false,9,2,1335493224777
181,Clark/Rachel,6181,45.516853,-73.582648,true,false,1334741820000,,false,2,13,1335489693504
182,"Buillon / Mont-Royal",6182,45.5215,-73.5851,true,false,1333047360000,,false,19,4,1335494421830
183,"Laval / Mont-Royal",6183,45.52241290921658,-73.58412981033325,true,false,1334741760000,,false,19,4,1335495431388
184,"Métro Mont-Royal",6184,45.52468,-73.58199,true,false,1334013240000,,false,19,24,1335495521536
185,"Saint-André / Mont-Royal",6185,45.52633,-73.58047,true,false,1333047540000,,false,18,5,1335493160684
186,"Boyer / Mont-Royal",6186,45.52743,-73.58002,true,false,1332866040000,,false,12,15,1335492390664
187,"Saint-André / de Bienville",6187,45.5272,-73.58226,true,false,1332872700000,,false,12,3,1335486286268
188,"Marie-Anne / Saint-Hubert",6188,45.52473,-73.57878,true,false,1332960060000,,false,11,8,1335494982028
189,Chabot/Everret,6189,45.5507,-73.6096,true,false,1334315100000,,false,5,2,1335481704718
190,"Berri / Saint-Joseph",6190,45.52749,-73.58714,true,false,1333047600000,,false,0,11,1335492440265
191,"Saint-André / Saint-Joseph",6191,45.52856,-73.58545,true,false,1332866520000,,false,0,15,1335489701920
192,"Métro Laurier (Bibaud/Rivard)",6192,45.52811,-73.589443,true,false,1334191500000,,false,15,0,1335493600362
193,"Henri-Julien / Laurier",6193,45.525851,-73.590567,true,false,1334275920000,,false,17,2,1335494447321
194,"Henri-Julien / Maguire",6094,45.527265,-73.593402,true,false,1332979260000,,false,17,2,1335494792055
195,"de Bullion / Boul. Saint-Joseph",6195,45.52377,-73.58978,true,false,1333047600000,,false,3,12,1335494078793
196,Villeneuve/St-Laurent,6196,45.52157,-73.58918,true,false,,,false,15,4,1335493847315
197,Rivard/Boucher,6197,45.5285,-73.5913,true,false,1334191320000,,false,19,0,1335490538918
198,"Hélène-Baillargeon / Saint-Denis",6198,45.52974,-73.59527,true,false,1334756880000,,false,4,11,1335492469312
199,"Clark / Saint-Viateur",6199,45.52517156097331,-73.5993754863739,true,false,1334191380000,,false,9,14,1335494854156
200,"Maguire / Saint-Laurent",6200,45.52457,-73.59588,true,false,1332979140000,,false,4,15,1335495058939
201,"Villeneuve / de l'Hôtel-de-Ville",6201,45.52352540631033,-73.58750939369202,true,false,1333047600000,,false,7,12,1335495450022
202,"Hutchison / Sherbrooke",6203,45.50781,-73.57208,true,false,1333326060000,,false,2,21,1335495227334
203,"Milton / du Parc",6205,45.50971,-73.57354,true,false,1333325400000,,false,30,0,1335495561780
204,"Prince-Arthur / du Parc",6206,45.51059,-73.57547,true,false,1333325460000,,false,28,2,1335495054696
205,"Sainte-Famille / des Pins",6207,45.51281294953485,-73.57701659202576,true,false,1333325520000,,false,13,2,1335495173080
206,"Hutchison / des Pins",6208,45.51069,-73.57805,true,false,1333325640000,,false,11,7,1335492984197
207,"Milton / Clark",6209,45.51252,-73.57062,true,false,1333325520000,,false,8,15,1335495555314
208,"Metro  Sauvé",6210,45.5509,-73.656,true,false,1334275740000,,false,11,0,1335487894946
209,"Roy / Saint-Laurent",6211,45.51561,-73.57569,true,false,1332978900000,,false,7,0,1335495316848
210,"Duluth / Saint-Urbain",6212,45.51566,-73.58064,true,false,1334191440000,,false,14,5,1335495456983
211,"Duluth / Saint-Laurent",6213,45.5171,-73.57921,true,false,1332979020000,,false,5,10,1335495292217
212,"Square Saint-Louis",6214,45.51735,-73.56906,true,false,1332959340000,,false,25,18,1335495047056
213,"Saint-Cuthbert / Saint-Urbain",6215,45.51494,-73.57821,true,false,1332959400000,,false,7,12,1335495469052
214,"Parc du Mont-Royal",6216,45.51496,-73.58503,true,false,1333047660000,,false,20,3,1335493188688
215,"Marie-Anne / Saint-Urbain",6217,45.51778,-73.58531,true,false,1332979140000,,false,17,2,1335494233860
216,"de l'Hôtel-de-Ville / Roy",6219,45.51737,-73.57452,true,false,1332978780000,,false,17,1,1335494925217
217,"Laval / Duluth",6220,45.51923690964773,-73.57721507549286,true,false,1334191500000,,false,15,0,1335492761596
218,"Mont-Royal / Clark",6221,45.51941,-73.58685,true,false,1334191620000,,false,22,9,1335495143350
219,"de l'Esplanade / Mont-Royal",6222,45.51833,-73.58825,true,false,1334191620000,,false,18,1,1335494314634
220,"Mont-Royal / du Parc",6223,45.517,-73.589,true,false,1333747800000,,false,24,1,1335482705467
221,Villeneuve/parc,6224,45.51829,-73.59235,true,false,1332866580000,,false,15,0,1335495307488
222,"Villeneuve / Saint-Urbain",6225,45.52039,-73.59026,true,false,,,false,11,0,1335493014086
224,"Jeanne-Mance / Laurier",6227,45.52024,-73.59494,true,false,1333047660000,,false,19,3,1335493583940
226,"Waverly / Saint-Viateur",6230,45.52402527115221,-73.60042154788971,true,false,,,false,11,8,1335493118217
227,"Saint-Viateur / du Parc",6231,45.52246,-73.6019,true,false,1334275860000,,false,14,4,1335494470399
228,"Bernard / Clark",6234,45.52697,-73.60261,true,false,1332978660000,,false,11,3,1335494747896
229,"Saint-Dominique / Saint-Viateur",6235,45.52654331973003,-73.59823286533356,true,false,1332978720000,,false,12,3,1335494347081
230,"Laurier / de Lorimier",6236,45.53801968350807,-73.57845962047577,true,false,1333569960000,,false,7,8,1335489800348
232,"Parthenais / Gilford",6237,45.53797459432353,-73.57477962970734,true,false,1334777640000,,false,7,8,1335494237681
233,"Chapleau / Marie-Anne",6903,45.53751242809744,-73.56695830821991,true,false,1334438820000,,false,12,3,1335494743924
234,"de Bordeaux / Jean-Talon",6924,45.54970407823863,-73.60551238059998,true,false,1334315040000,,false,10,0,1335492496976
236,"Fairmount / Hutchison",6240,45.519486,-73.598419,true,false,,,false,15,0,1335485545168
237,"Querbes / Laurier",6241,45.517345,-73.597724,true,false,1334062740000,,false,12,2,1335493128920
239,"Bloomfield / Bernard",6243,45.520532,-73.608144,true,false,1334097660000,,false,15,4,1335491764639
241,"Bloomfield / Van Horne",6245,45.522608,-73.613178,true,false,1334097720000,,false,15,0,1335489508733
242,"Métro Outremont",6246,45.520265,-73.614887,true,false,1333483200000,,false,17,2,1335488993052
243,"Casgrain / Saint-Zotique",6247,45.53304,-73.61108,true,false,1332979080000,,false,12,2,1335484224882
244,"Dante / Alma",6248,45.53479,-73.6119,true,false,1332979080000,,false,10,1,1335486778747
245,"Bélanger / Saint-Denis",6249,45.53696,-73.61199,true,false,1332978540000,,false,8,7,1335494144976
246,"Henri-Julien / Jean-Talon",6250,45.53707,-73.61529,true,false,1333556220000,,false,18,5,1335492698345
247,"Casgrain / Mozart",6251,45.534788,-73.614726,true,false,1333556280000,,false,13,1,1335492668127
248,"Mozart / Saint-Laurent",6252,45.53318,-73.61544,true,false,1333556220000,,false,13,1,1335493572425
249,"Saint-Vallier / Jean-Talon",6253,45.538921,-73.613701,true,false,1333747200000,,false,16,9,1335494535164
250,"Boyer / Bélanger",6254,45.54006,-73.60897,true,false,1334438940000,,false,12,3,1335490195447
251,"Boyer / Saint-Zotique",6255,45.53848,-73.60556,true,false,1334438940000,,false,9,6,1335485638382
253,"Saint-Vallier / Saint-Zotique",6257,45.536299,-73.607773,true,false,1332978420000,,false,13,2,1335492077234
254,"Parc Père-Marquette",6258,45.537035,-73.593126,true,false,1332978600000,,false,1,14,1335495267231
255,"Holt / de Lorimier",6259,45.54184,-73.58644,true,false,1333556580000,,false,0,11,1335481800460
256,"Cartier / des Carrières",6260,45.53989,-73.58807,true,false,1332978780000,,false,4,7,1335481705732
257,"des Érables / Rosemont",6261,45.54363,-73.58844,true,false,1332978840000,,false,9,2,1335487245892
258,"de la Roche /  Bellechasse ",6262,45.537202,-73.597884,true,false,1333555980000,,false,6,9,1335491573409
259,Hampton/Monkland,6263,45.4714,-73.6266,true,false,1333675800000,,false,13,2,1335493417683
260,"Chabot / Bellechasse",6264,45.5427,-73.59212,true,false,1334340960000,,false,2,13,1335481702114
261,"Louis-Hémon / Bellechasse",6265,45.545264,-73.589918,true,false,1333555980000,,false,7,8,1335491338671
262,"Louis-Hébert / Beaubien",6266,45.54857,-73.59268,true,false,1333556040000,,false,11,8,1335481829049
263,"de Bordeaux / Beaubien",6267,45.54475,-73.5949,true,false,1333556100000,,false,11,4,1335495098117
264,"Chambord / Beaubien",6268,45.539964,-73.599716,true,false,1333556100000,,false,10,5,1335493623185
265,"de Normanville / Saint-Zotique",6269,45.54083,-73.60384,true,false,1333569540000,,false,0,7,1335481697877
266,"Fabre / Saint-Zotique",6270,45.543541,-73.600982,true,false,1333569600000,,false,9,1,1335493250652
267,"de Gaspé / de Bellechasse",6271,45.530512,-73.603949,true,false,1332978480000,,false,1,10,1335485010657
268,"des Érables / Saint-Zotique",6272,45.5477,-73.59721,true,false,1333556400000,,false,9,2,1335490172508
269,"Garnier / Bélanger",6273,45.544471,-73.605145,true,false,1333556400000,,false,6,9,1335481710215
270,"Cartier / Bélanger",6274,45.54691,-73.60281,true,false,1333556520000,,false,8,3,1335481708695
271,"Chambord / Jean-Talon",6275,45.544828,-73.610458,true,false,1333569900000,,false,10,5,1335481709830
272,"De la Roche / Bélanger",6276,45.5416,-73.608,true,false,1333569960000,,false,13,2,1335492265031
